trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",25,0,-106.04336357513323,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",20,0,-78.75428599641651,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",20,0,-26.0333759785277,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",20,0,-99.04125187836772,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",25,0,-157.2939546847671,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",20,0,-47.5525808061037,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",20,8,-5.155637386656013,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",20,0,-109.7304908437067,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",25,0,-62.461391370678164,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",20,0,-97.27693933101583,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",25,0,-72.58262072583355,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",35,0,-178.59940333359333,"{0: 17, 1: 8, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",20,0,-108.78706363108516,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",20,0,-142.37222373530977,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",20,9,9.798355383280978,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",20,6,-86.5531729943778,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",20,0,-60.38245915201744,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",20,0,-193.3441838983452,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",25,0,-92.25433683262389,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",25,0,-72.5947684981606,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
