trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.05143244784549,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.84282409951336,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.272638206895635,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.45915244975667,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-132.45019265422104,"{0: 20, 1: 6, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.07083280286764,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.8968466906939,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,5,-146.3454284867688,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.76988167124182,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.27166966997498,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.3150677382371,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.6029267303229,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.93198284415246,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.89428677284016,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.64980400545633,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.82988117443094,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.5742952006499,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.57018247715534,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,3,-60.10193660832334,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-100.1633358010508,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.952109948731305,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.4089706051871,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.88178617687612,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.71524800394572,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.91422806806389,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,16,-69.59932309847962,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.02336920525549,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.47418574907135,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,8,-148.97881182781055,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,3,-94.30957593530344,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
